service_member_id,callsign_id,callsign,display_name,member_class,current_role,command_layer,lifecycle_state,readiness_state,legacy_alias,source_lineage
ATA-CELIA-000,ATA-SM-CELIA-001,@CELIA,Celia,ai_agent,Cold Email & Outbound Prospecting Specialist,Academy Growth Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-DIMARKO-000,ATA-SM-DIMARKO-001,@DIMARKO,Dimarko,ai_agent,Digital Marketing Strategy & Campaign Orchestration Lead,Academy Growth Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-DIPEDI-000,ATA-SM-DIPEDI-001,@DIPEDI,Dipedi,ai_agent,Digital Product Development & Launch Readiness Lead,Academy Growth Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-MAPE-000,ATA-SM-MAPE-001,@MAPE,Mape,ai_agent,Marketing Persona & Audience Intelligence Specialist,Academy Growth Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-SEBO-000,ATA-SM-SEBO-001,@SEBO,Sebo,ai_agent,SEO Intelligence & Organic Search Optimization Specialist,Academy Growth Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-SOPHIE-000,ATA-SM-SOPHIE-001,@SOPHIE,Sophie,ai_agent,Strategic Market & Competitive Intelligence Specialist,Academy Growth Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-VEX-000,ATA-SM-VEX-001,@VEX,Vex,ai_agent,Viral Hooks & Attention Engineering Specialist,Academy Growth Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-CENA-000,ATA-SM-CENA-001,@CENA,Cena,ai_agent,Client Avatar Simulation & Sales Conversation Practice Specialist,Academy Sales Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-SIENNA-000,ATA-SM-SIENNA-001,@SIENNA,Sienna,ai_agent,Strategic Sales & Pipeline Optimization Advisor,Academy Sales Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-CARA-000,ATA-SM-CARA-001,@CARA,Cara,ai_agent,Content Repurposing & Distribution Specialist,Academy Social Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-FEBO-000,ATA-SM-FEBO-001,@FEBO,Febo,ai_agent,Facebook Engagement Specialist,Academy Social Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-INSTAR-000,ATA-SM-INSTAR-001,@INSTAR,Instar,ai_agent,Instagram Growth Specialist,Academy Social Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-LINX-000,ATA-SM-LINX-001,@LINX,Linx,ai_agent,LinkedIn Growth & Professional Brand Specialist,Academy Social Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-SANDRA-000,ATA-SM-SANDRA-001,@SANDRA,Sandra,ai_agent,Social Media Strategy & Cross-Platform Orchestration Lead,Academy Social Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-XAVIER-000,ATA-SM-XAVIER-001,@XAVIER,Xavier,ai_agent,X/Twitter Growth & Real-Time Audience Engagement Specialist,Academy Social Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-VIDDI-000,ATA-SM-VIDDI-001,@VIDDI,Viddi,ai_agent,Short-Form Video & YouTube Shorts Specialist,Academy Social Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-DINA-000,ATA-SM-DINA-001,@DINA,Dina,ai_agent,Digital Content Creation & Campaign Asset Specialist,Academy Writing Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-CODY-000,ATA-SM-CODY-001,@CODY,Cody,ai_agent,Conversion Copy & Message Refinement Specialist,Academy Writing Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-GRANT-000,ATA-SM-GRANT-001,@GRANT,Grant,ai_agent,"Grammar, Language Quality & English Instruction Specialist",Academy Writing Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-SALLY-000,ATA-SM-SALLY-001,@SALLY,Sally,ai_agent,Sales Story & Persuasive Narrative Specialist,Academy Writing Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_ALPHA-000,ATA-SM-TROOPER_ALPHA-001,@TROOPER_ALPHA,Trooper Alpha,ai_agent,Strategic Command,Strategic Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_TITAN-000,ATA-SM-TROOPER_TITAN-001,@TROOPER_TITAN,Trooper Titan,ai_agent,Executive Oversight,Executive Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_OMEGA-000,ATA-SM-TROOPER_OMEGA-001,@TROOPER_OMEGA,Trooper Omega,ai_agent,AI Reasoning Core,AI Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-ATLAS-000,ATA-SM-ATLAS-001,@ATLAS,Atlas,ai_agent,Operational Command,Operations Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_SIGMA-000,ATA-SM-TROOPER_SIGMA-001,@TROOPER_SIGMA,Trooper Sigma,ai_agent,Operations Controller,Operations Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-HELIX-000,ATA-SM-HELIX-001,@HELIX,Helix,ai_agent,Readiness & Verification,Independent Assurance,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-ATHENA-000,ATA-SM-ATHENA-001,@ATHENA,Athena,ai_agent,Knowledge Preservation & Doctrine,Knowledge Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_YANKEE-000,ATA-SM-TROOPER_YANKEE-001,@TROOPER_YANKEE,Trooper Yankee,ai_agent,Education Command,Academy Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_BRAVO-000,ATA-SM-TROOPER_BRAVO-001,@TROOPER_BRAVO,Trooper Bravo,ai_agent,Acquisition Hunter,Real Estate Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_CHARLIE-000,ATA-SM-TROOPER_CHARLIE-001,@TROOPER_CHARLIE,Trooper Charlie,ai_agent,Deal Analyzer,Real Estate Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_DELTA-000,ATA-SM-TROOPER_DELTA-001,@TROOPER_DELTA,Trooper Delta,ai_agent,Negotiation Specialist,Real Estate Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_ECHO-000,ATA-SM-TROOPER_ECHO-001,@TROOPER_ECHO,Trooper Echo,ai_agent,Dispositions Coordinator,Real Estate Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_FOXTROT-000,ATA-SM-TROOPER_FOXTROT-001,@TROOPER_FOXTROT,Trooper Foxtrot,ai_agent,Rehab Intelligence,Real Estate Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_GOLF-000,ATA-SM-TROOPER_GOLF-001,@TROOPER_GOLF,Trooper Golf,ai_agent,Buy & Hold Operator,Real Estate Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_HOTEL-000,ATA-SM-TROOPER_HOTEL-001,@TROOPER_HOTEL,Trooper Hotel,ai_agent,Development Strategist,Real Estate Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_INDIA-000,ATA-SM-TROOPER_INDIA-001,@TROOPER_INDIA,Trooper India,ai_agent,Land Flipping Specialist,Real Estate Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_KILO-000,ATA-SM-TROOPER_KILO-001,@TROOPER_KILO,Trooper Kilo,ai_agent,Capital Stack Engineer,Capital Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_JULIET-000,ATA-SM-TROOPER_JULIET-001,@TROOPER_JULIET,Trooper Juliet,ai_agent,Grant & Funding Officer,Capital Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_MIKE-000,ATA-SM-TROOPER_MIKE-001,@TROOPER_MIKE,Trooper Mike,ai_agent,Legal Operations,Legal & Compliance,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_LIMA-000,ATA-SM-TROOPER_LIMA-001,@TROOPER_LIMA,Trooper Lima,ai_agent,Accounting & Governance,Finance & Governance,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-ARCHITECT-000,ATA-SM-ARCHITECT-001,@ARCHITECT,Architect,ai_agent,Systems Architecture,Technology Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_ROMEO-000,ATA-SM-TROOPER_ROMEO-001,@TROOPER_ROMEO,Trooper Romeo,ai_agent,Full-Stack Engineer,Technology Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_QUEBEC-000,ATA-SM-TROOPER_QUEBEC-001,@TROOPER_QUEBEC,Trooper Quebec,ai_agent,Database Architect,Data Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_OSCAR-000,ATA-SM-TROOPER_OSCAR-001,@TROOPER_OSCAR,Trooper Oscar,ai_agent,AI Automation Engineer,Automation Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_SIERRA-000,ATA-SM-TROOPER_SIERRA-001,@TROOPER_SIERRA,Trooper Sierra,ai_agent,Cyber Defense,Security Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_PAPA-000,ATA-SM-TROOPER_PAPA-001,@TROOPER_PAPA,Trooper Papa,ai_agent,Data Intelligence,Telemetry & Analytics,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
