level,level_title,module_code,module_title,learning_outcome,estimated_hours,assessment
15,Evaluation and AI Operations,15.3,Production monitoring,"Detect drift, regressions, unusual cost, latency, and safety failures.",6,Quiz + Lab + Evidence
15,Evaluation and AI Operations,15.4,Incident response,"Triage, contain, roll back, communicate, and prevent recurrence.",6,Quiz + Lab + Evidence
16,Business and Enterprise AI,16.1,Use-case selection,"Prioritize measurable value, feasibility, risk, adoption, and data readiness.",6,Quiz + Lab + Evidence
16,Business and Enterprise AI,16.2,Product design and monetization,"Use client-side previews, premium cloud features, and cost-aware routing.",6,Quiz + Lab + Evidence
16,Business and Enterprise AI,16.3,Change management,"Train users, redesign work, establish accountability, and measure adoption.",6,Quiz + Lab + Evidence
16,Business and Enterprise AI,16.4,Executive governance,"Manage portfolio, vendors, investment, risk appetite, and strategic roadmaps.",6,Quiz + Lab + Evidence
17,Capstones and Mastery,17.1,Built-in AI application,Ship a task-API feature with model availability handling and offline behavior.,24,Quiz + Lab + Evidence
17,Capstones and Mastery,17.2,Hybrid AI platform,"Implement dynamic routing, server fallback, unified contracts, and monitoring.",24,Quiz + Lab + Evidence
17,Capstones and Mastery,17.3,Grounded agent system,"Build an agent with RAG, tools, approvals, citations, and audit trails.",24,Quiz + Lab + Evidence
17,Capstones and Mastery,17.4,Enterprise production review,"Defend architecture, security, economics, evaluation evidence, and operating plan.",24,Quiz + Lab + Evidence
